month,warehouse,sku_id,category,supplier,demand_plan,actual_demand,demand_variance_pct,stock_on_hand,safety_stock,reorder_point,po_number,po_qty,po_date,expected_receipt_date,po_status,closing_stock,days_of_cover,stockout_risk,unit_cost_inr,inventory_value_inr
2024-09-01,DEL,SKU-001,Personal Care,Procter & Gamble India,3987,3847,-3.5,3093,992,1587,PO-73895,4984,2024-08-15,2024-09-09,In Transit,4230,33.0,Low,180,761400
2024-10-01,DEL,SKU-001,Personal Care,Procter & Gamble India,5235,4800,-8.3,5285,992,1587,,0,,,Not Raised,485,3.0,High,180,87300
2024-11-01,DEL,SKU-001,Personal Care,Godrej Consumer Products,5632,5097,-9.5,3377,992,1587,PO-27779,6686,2024-10-06,2024-11-09,Pending,4966,29.2,Low,180,893880
2024-12-01,DEL,SKU-001,Personal Care,Marico Industries,5615,6011,7.1,4272,992,1587,PO-41029,6494,2024-11-05,2024-12-09,Delivered,4755,23.7,Low,180,855900
2025-01-01,DEL,SKU-001,Personal Care,Godrej Consumer Products,3802,4053,6.6,2824,992,1587,PO-45695,4091,2024-12-02,2025-01-10,In Transit,2862,21.2,Low,180,515160
2025-02-01,DEL,SKU-001,Personal Care,Marico Industries,4149,3735,-10.0,6522,992,1587,,0,,,Not Raised,2787,22.4,Low,180,501660
2024-09-01,DEL,SKU-002,Personal Care,Hindustan Unilever Ltd,2458,2112,-14.1,3472,573,918,,0,,,Not Raised,1360,19.3,Low,320,435200
2024-10-01,DEL,SKU-002,Personal Care,Marico Industries,3145,3001,-4.6,2847,573,918,PO-69076,3714,2024-09-05,2024-10-12,In Transit,3560,35.6,Low,320,1139200
2024-11-01,DEL,SKU-002,Personal Care,Hindustan Unilever Ltd,2932,2774,-5.4,3524,573,918,,0,,,Not Raised,750,8.1,Medium,320,240000
2024-12-01,DEL,SKU-002,Personal Care,ITC Limited,3199,3337,4.3,2067,573,918,PO-16708,3528,2024-11-10,2024-12-12,Pending,2258,20.3,Low,320,722560
2025-01-01,DEL,SKU-002,Personal Care,Dabur India,2303,2386,3.6,2184,573,918,PO-38125,2378,2024-12-02,2025-01-11,In Transit,2176,27.4,Low,320,696320
2025-02-01,DEL,SKU-002,Personal Care,ITC Limited,2080,2212,6.3,3888,573,918,,0,,,Not Raised,1676,22.7,Low,320,536320
2024-09-01,DEL,SKU-003,Personal Care,Marico Industries,1380,1346,-2.5,1984,319,511,,0,,,Not Raised,638,14.2,Low,95,60610
2024-10-01,DEL,SKU-003,Personal Care,Marico Industries,1782,1871,5.0,1807,319,511,PO-33729,2008,2024-09-13,2024-10-12,In Transit,1944,31.2,Low,95,184680
2024-11-01,DEL,SKU-003,Personal Care,ITC Limited,1633,1488,-8.9,1938,319,511,,0,,,Not Raised,450,9.1,Medium,95,42750
2024-12-01,DEL,SKU-003,Personal Care,Nestle India,1565,1540,-1.6,1276,319,511,PO-60467,2032,2024-11-03,2024-12-13,Delivered,1768,34.4,Low,95,167960
2025-01-01,DEL,SKU-003,Personal Care,Nestle India,1234,1196,-3.1,1012,319,511,PO-74296,1541,2024-12-13,2025-01-15,Delivered,1357,34.0,Low,95,128915
2025-02-01,DEL,SKU-003,Personal Care,Godrej Consumer Products,1345,1353,0.6,2068,319,511,,0,,,Not Raised,715,15.9,Low,95,67925
2024-09-01,DEL,SKU-004,Food & Beverages,ITC Limited,2648,2359,-10.9,3163,611,978,,0,,,Not Raised,804,10.2,Medium,210,168840
2024-10-01,DEL,SKU-004,Food & Beverages,Dabur India,3385,3219,-4.9,3342,611,978,,0,,,Not Raised,123,1.1,High,210,25830
2024-11-01,DEL,SKU-004,Food & Beverages,Godrej Consumer Products,3039,3111,2.4,3457,611,978,,0,,,Not Raised,346,3.3,High,210,72660
2024-12-01,DEL,SKU-004,Food & Beverages,Hindustan Unilever Ltd,3551,3189,-10.2,3562,611,978,,0,,,Not Raised,373,3.5,High,210,78330
2025-01-01,DEL,SKU-004,Food & Beverages,Emami Limited,2547,2342,-8.0,2806,611,978,,0,,,Not Raised,464,5.9,High,210,97440
2025-02-01,DEL,SKU-004,Food & Beverages,Emami Limited,2301,2260,-1.8,2549,611,978,,0,,,Not Raised,289,3.8,High,210,60690
2024-09-01,DEL,SKU-005,Food & Beverages,Emami Limited,956,817,-14.5,1386,218,349,,0,,,Not Raised,569,20.9,Low,145,82505
2024-10-01,DEL,SKU-005,Food & Beverages,Dabur India,1239,1311,5.8,792,218,349,PO-10297,1502,2024-09-13,2024-10-10,Pending,983,22.5,Low,145,142535
2024-11-01,DEL,SKU-005,Food & Beverages,Nestle India,1063,1101,3.6,809,218,349,PO-41253,1313,2024-10-06,2024-11-12,Delivered,1021,27.8,Low,145,148045
2024-12-01,DEL,SKU-005,Food & Beverages,Marico Industries,1244,1366,9.8,577,218,349,PO-30828,1401,2024-11-15,2024-12-13,Pending,612,13.4,Medium,145,88740
2025-01-01,DEL,SKU-005,Food & Beverages,Marico Industries,888,871,-1.9,693,218,349,PO-37018,1083,2024-12-07,2025-01-10,Delivered,905,31.2,Low,145,131225
2025-02-01,DEL,SKU-005,Food & Beverages,Marico Industries,916,837,-8.6,1141,218,349,,0,,,Not Raised,304,10.9,Medium,145,44080
2024-09-01,DEL,SKU-006,Food & Beverages,Marico Industries,1380,1428,3.5,1059,340,544,PO-35546,1737,2024-08-14,2024-09-16,Pending,1368,28.7,Low,480,656640
2024-10-01,DEL,SKU-006,Food & Beverages,Godrej Consumer Products,1950,1856,-4.8,2160,340,544,,0,,,Not Raised,304,4.9,High,480,145920
2024-11-01,DEL,SKU-006,Food & Beverages,Marico Industries,2016,1938,-3.9,2349,340,544,,0,,,Not Raised,411,6.4,High,480,197280
2024-12-01,DEL,SKU-006,Food & Beverages,Procter & Gamble India,1959,2009,2.6,2350,340,544,,0,,,Not Raised,341,5.1,High,480,163680
2025-01-01,DEL,SKU-006,Food & Beverages,Nestle India,1483,1440,-2.9,925,340,544,PO-56478,1509,2024-12-07,2025-01-09,Pending,994,20.7,Low,480,477120
2025-02-01,DEL,SKU-006,Food & Beverages,Marico Industries,1400,1396,-0.3,2115,340,544,,0,,,Not Raised,719,15.5,Low,480,345120
2024-09-01,DEL,SKU-007,Food & Beverages,Procter & Gamble India,2401,2375,-1.1,2019,605,968,PO-12624,2690,2024-08-14,2024-09-13,In Transit,2334,29.5,Low,190,443460
2024-10-01,DEL,SKU-007,Food & Beverages,ITC Limited,3109,3391,9.1,1911,605,968,PO-36342,3460,2024-09-15,2024-10-06,In Transit,1980,17.5,Low,190,376200
2024-11-01,DEL,SKU-007,Food & Beverages,Hindustan Unilever Ltd,3530,3361,-4.8,2605,605,968,PO-67385,4053,2024-10-06,2024-11-08,In Transit,3297,29.4,Low,190,626430
2024-12-01,DEL,SKU-007,Food & Beverages,Marico Industries,3013,2678,-11.1,2753,605,968,,0,,,Not Raised,75,0.8,High,190,14250
2025-01-01,DEL,SKU-007,Food & Beverages,Godrej Consumer Products,2228,2133,-4.3,3606,605,968,,0,,,Not Raised,1473,20.7,Low,190,279870
2025-02-01,DEL,SKU-007,Food & Beverages,Nestle India,2183,2332,6.8,3663,605,968,,0,,,Not Raised,1331,17.1,Low,190,252890
2024-09-01,DEL,SKU-008,Household,Hindustan Unilever Ltd,3617,3489,-3.5,4220,822,1315,,0,,,Not Raised,731,6.3,High,350,255850
2024-10-01,DEL,SKU-008,Household,Nestle India,4606,4157,-9.7,4135,822,1315,PO-32013,4745,2024-09-03,2024-10-13,In Transit,4723,34.1,Low,350,1653050
