Shipment ID,Load ID,Date,Month,Year,Carrier Name,Mode of Transport,Product Type,Origin Country,Origin Region,Origin State,Origin City,Origin Zipcode,Origin Area,Destination Country,Destination Region,Destination State,Destination City,Destination Zipcode,Destination Area,Distance_km,Total_Weight_in_Shipment_kg,Transit Time (Days),Operational Status,Shipment Cost (USD),Shipment Planned,Equipment,Equipment Weight Capacity (KG),Equipment_VolumeCapacity_m3,Total Volume in Shipment_m3,Tendered Status,Estimated Delivery Date,Actual_Delivery_Date,Delays,On-Time / Delayed / In-Transit,Shipment Order Type
SHP-00001,LD-00001,2024-11-10,November,2024,Blue Dart,Road,Food & Beverages,India,East,West Bengal,Kolkata,000000,Kolkata,India,South,Karnataka,Bangalore,560001,Bangalore,1847,267.0,2,Delivered,5594.38,2024-11-10,20ft Container,18000,28.0,0.2882,Accepted,2024-11-12,2024-11-12,0,On-Time,Inbound
SHP-00002,LD-00002,2024-12-17,December,2024,Ekart Logistics,Road,Personal Care,India,West,Maharashtra,Pune,000000,Pune,India,South,Karnataka,Bangalore,560001,Bangalore,978,527.0,3,Delivered,1869.1,2024-12-17,MCV,8000,18.0,0.6122,Accepted,2024-12-20,2024-12-20,0,On-Time,Inbound
SHP-00003,LD-00003,2024-12-07,December,2024,Blue Dart,Road,Food & Beverages,India,East,West Bengal,Kolkata,000000,Kolkata,India,West,Maharashtra,Mumbai,400001,Mumbai,2040,743.7,2,Delivered,6595.94,2024-12-07,MCV,8000,18.0,0.9551,Accepted,2024-12-09,2024-12-09,0,On-Time,Inbound
SHP-00004,LD-00004,2024-10-20,October,2024,Ekart Logistics,Road,Household,India,West,Maharashtra,Mumbai,000000,Mumbai,India,South,Karnataka,Bangalore,560001,Bangalore,947,2618.2,2,Delivered,1848.59,2024-10-20,32ft Container,25000,38.0,3.0745,Accepted,2024-10-22,2024-10-22,0,On-Time,Inbound
SHP-00005,LD-00005,2024-11-30,November,2024,DTDC,Road,Personal Care,India,North,Delhi,Delhi,000000,Delhi,India,West,Maharashtra,Mumbai,400001,Mumbai,1424,435.2,2,Delivered,3057.27,2024-11-30,32ft Container,25000,38.0,0.6137,Accepted,2024-12-02,2024-12-02,0,On-Time,Inbound
SHP-00006,LD-00006,2024-09-15,September,2024,DTDC,Road,Personal Care,India,West,Maharashtra,Pune,000000,Pune,India,South,Karnataka,Bangalore,560001,Bangalore,1026,349.1,4,Delivered,2173.54,2024-09-15,Reefer 20ft,15000,26.0,0.3966,Accepted,2024-09-19,2024-09-19,0,On-Time,Inbound
SHP-00007,LD-00007,2024-11-07,November,2024,Delhivery,Road,Personal Care,India,West,Maharashtra,Mumbai,000000,Mumbai,India,West,Maharashtra,Mumbai,400001,Mumbai,45,276.2,2,Delivered,116.85,2024-11-07,32ft Container,25000,38.0,0.2712,Accepted,2024-11-09,2024-11-09,0,On-Time,Inbound
SHP-00008,LD-00008,2024-12-18,December,2024,Delhivery,Road,Personal Care,India,North,Delhi,Delhi,000000,Delhi,India,North,Delhi,Delhi,110001,Delhi,67,348.4,1,Delivered,181.89,2024-12-18,20ft Container,18000,28.0,0.485,Accepted,2024-12-19,2024-12-19,0,On-Time,Inbound
SHP-00009,LD-00009,2024-09-29,September,2024,DTDC,Road,Food & Beverages,India,North,Uttar Pradesh,Ghaziabad,000000,Ghaziabad,India,South,Karnataka,Bangalore,560001,Bangalore,2113,503.0,2,Delivered,4993.08,2024-09-29,Reefer 20ft,15000,26.0,0.6067,Accepted,2024-10-01,2024-10-01,0,On-Time,Inbound
SHP-00010,LD-00010,2024-12-05,December,2024,Delhivery,Road,Household,India,West,Maharashtra,Pune,000000,Pune,India,South,Karnataka,Bangalore,560001,Bangalore,937,4689.4,2,Delivered,2247.09,2024-12-05,MCV,8000,18.0,5.4546,Accepted,2024-12-07,2024-12-07,0,On-Time,Inbound
