event_id,timestamp,warehouse,event_type,shift,team,resolved
EV-0001,2024-11-18 06:54:00,DEL,Conveyor Jam,Shift B,Team 1,Yes
EV-0002,2025-02-03 18:29:00,BLR,Scan Failure,Shift A,Team 1,Yes
EV-0003,2025-01-27 16:03:00,DEL,WMS Timeout,Shift A,Team 3,No
EV-0004,2024-11-21 10:25:00,MUM,Pick Path Error,Shift A,Team 3,Yes
EV-0005,2025-01-06 10:15:00,MUM,RF Gun Disconnected,Shift A,Team 3,No
EV-0006,2024-09-09 14:38:00,MUM,Scan Failure,Shift A,Team 1,No
EV-0007,2025-01-14 11:36:00,MUM,WMS Timeout,Shift A,Team 3,Yes
EV-0008,2024-10-07 07:12:00,DEL,Conveyor Jam,Shift B,Team 1,No
EV-0009,2025-01-17 16:16:00,BLR,Pick Path Error,Shift A,Team 2,No
EV-0010,2024-09-18 07:05:00,BLR,Pick Path Error,Shift A,Team 1,Yes
EV-0011,2025-02-01 10:55:00,BLR,Scan Failure,Shift C,Team 2,Yes
EV-0012,2025-02-17 15:18:00,DEL,Label Print Error,Shift B,Team 3,Yes
EV-0013,2025-02-07 15:47:00,BLR,Scan Failure,Shift C,Team 3,Yes
EV-0014,2024-10-06 09:35:00,BLR,Pick Path Error,Shift B,Team 3,Yes
EV-0015,2024-12-29 12:54:00,MUM,Scan Failure,Shift C,Team 2,Yes
EV-0016,2025-01-13 15:20:00,DEL,Label Print Error,Shift B,Team 1,No
EV-0017,2024-10-25 15:39:00,MUM,RF Gun Disconnected,Shift A,Team 3,Yes
EV-0018,2024-11-13 10:42:00,BLR,Pick Path Error,Shift A,Team 1,No
EV-0019,2024-09-26 14:12:00,MUM,Label Print Error,Shift A,Team 3,No
EV-0020,2025-02-18 09:40:00,BLR,Pick Path Error,Shift B,Team 3,Yes
EV-0021,2024-10-17 12:48:00,MUM,Label Print Error,Shift C,Team 1,Yes
EV-0022,2024-12-30 07:22:00,MUM,RF Gun Disconnected,Shift A,Team 3,Yes
EV-0023,2024-10-01 09:14:00,DEL,Scan Failure,Shift B,Team 3,Yes
EV-0024,2024-09-15 11:28:00,MUM,WMS Timeout,Shift B,Team 2,Yes
EV-0025,2025-01-30 08:45:00,BLR,RF Gun Disconnected,Shift C,Team 3,Yes
EV-0026,2024-09-09 19:14:00,DEL,Label Print Error,Shift C,Team 2,Yes
EV-0027,2024-12-22 10:02:00,MUM,RF Gun Disconnected,Shift C,Team 1,Yes
EV-0028,2025-02-21 19:00:00,DEL,WMS Timeout,Shift A,Team 2,Yes
EV-0029,2025-01-04 14:30:00,DEL,RF Gun Disconnected,Shift C,Team 1,Yes
EV-0030,2025-01-31 13:42:00,DEL,WMS Timeout,Shift B,Team 2,Yes
EV-0031,2024-09-17 09:59:00,MUM,Conveyor Jam,Shift C,Team 2,Yes
EV-0032,2024-11-06 17:23:00,DEL,Pick Path Error,Shift C,Team 2,Yes
EV-0033,2024-10-29 13:22:00,DEL,Conveyor Jam,Shift B,Team 3,Yes
EV-0034,2024-11-16 16:51:00,BLR,RF Gun Disconnected,Shift A,Team 2,Yes
EV-0035,2024-12-17 16:53:00,BLR,RF Gun Disconnected,Shift A,Team 3,Yes
EV-0036,2025-01-12 11:06:00,DEL,Scan Failure,Shift B,Team 3,Yes
EV-0037,2024-12-31 20:15:00,DEL,RF Gun Disconnected,Shift B,Team 1,Yes
EV-0038,2024-12-27 12:18:00,BLR,WMS Timeout,Shift B,Team 1,No
EV-0039,2024-12-04 06:42:00,MUM,RF Gun Disconnected,Shift A,Team 3,No
