shipment_id,arrdte,last_rcpt_conf_dte,last_upd_dt,warehouse,supplier_code,sku,received_qty,invoice_no,shift,team
SHP-00001,2024-11-12 10:46:33,2024-11-12 11:52:45,2024-11-12 14:47:11,BLR,SUP-001,SKU-018,378,INV-697339,Shift A,Team 1
SHP-00002,2024-12-20 10:23:02,2024-12-20 12:01:45,2024-12-20 14:55:04,BLR,SUP-008,SKU-026,1980,INV-902434,Shift B,Team 2
SHP-00003,2024-12-09 09:09:00,2024-12-09 10:10:33,2024-12-09 15:10:35,MUM,SUP-004,SKU-024,1140,INV-971532,Shift B,Team 3
SHP-00004,2024-10-22 18:50:07,2024-10-22 20:00:57,2024-10-23 00:49:37,BLR,SUP-002,SKU-008,1783,INV-575542,Shift B,Team 1
SHP-00005,2024-12-02 11:24:32,2024-12-02 13:21:38,2024-12-02 13:02:12,MUM,SUP-002,SKU-020,1500,INV-927154,Shift A,Team 2
SHP-00006,2024-09-19 11:31:48,2024-09-19 13:15:40,2024-09-19 18:03:54,BLR,SUP-001,SKU-011,1021,INV-312960,Shift B,Team 1
SHP-00007,2024-11-09 10:06:06,2024-11-09 11:44:30,2024-11-09 15:08:44,MUM,SUP-008,SKU-014,1395,INV-315531,Shift C,Team 2
SHP-00008,2024-12-19 17:00:33,2024-12-19 18:37:49,2024-12-19 21:10:06,DEL,SUP-004,SKU-020,1158,INV-867870,Shift A,Team 1
SHP-00009,2024-10-01 11:37:27,2024-10-01 13:15:56,2024-10-01 15:33:08,BLR,SUP-005,SKU-024,739,INV-198873,Shift A,Team 3
SHP-00010,2024-12-07 20:02:10,2024-12-07 20:33:18,2024-12-07 21:35:13,BLR,SUP-006,SKU-025,1286,INV-302376,Shift C,Team 3
SHP-00011,2024-11-03 21:22:45,2024-11-03 23:20:00,2024-11-04 04:07:10,MUM,SUP-003,SKU-003,1757,INV-515129,Shift A,Team 2
SHP-00012,2025-01-19 19:19:33,2025-01-19 20:04:34,2025-01-19 22:24:46,BLR,SUP-005,SKU-023,838,INV-171114,Shift C,Team 1
SHP-00013,2024-11-27 07:14:38,2024-11-27 08:05:35,2024-11-27 13:55:05,DEL,SUP-001,SKU-023,1492,INV-859338,Shift C,Team 2
SHP-00014,2025-01-23 09:40:10,2025-01-23 10:22:13,2025-01-23 13:52:14,BLR,SUP-005,SKU-008,1806,INV-169504,Shift A,Team 1
SHP-00015,2025-02-17 17:29:14,2025-02-17 18:43:46,2025-02-17 23:13:51,MUM,SUP-005,SKU-004,709,INV-204548,Shift C,Team 1
SHP-00016,2024-09-30 08:21:16,2024-09-30 09:24:40,2024-09-30 10:48:42,DEL,SUP-002,SKU-003,1743,INV-162387,Shift C,Team 2
SHP-00017,2024-09-04 14:11:55,2024-09-04 15:09:47,2024-09-04 19:59:10,DEL,SUP-003,SKU-023,1696,INV-251202,Shift B,Team 3
SHP-00018,2024-09-17 08:12:43,2024-09-17 08:45:15,2024-09-17 15:25:28,DEL,SUP-008,SKU-030,1946,INV-258359,Shift C,Team 2
SHP-00019,2024-10-03 21:57:41,2024-10-03 23:45:35,2024-10-04 05:21:33,DEL,SUP-004,SKU-014,1546,INV-292237,Shift A,Team 2
SHP-00020,2025-02-16 11:25:52,2025-02-16 12:40:30,2025-02-16 13:23:59,MUM,SUP-003,SKU-025,348,INV-294534,Shift B,Team 1
SHP-00021,2024-09-20 21:43:06,2024-09-20 23:33:13,2024-09-21 00:48:31,MUM,SUP-004,SKU-023,819,INV-280765,Shift B,Team 1
SHP-00022,2024-11-09 08:30:38,2024-11-09 10:15:12,2024-11-09 10:39:28,BLR,SUP-004,SKU-018,518,INV-420317,Shift B,Team 3
SHP-00023,2024-09-16 08:29:21,2024-09-16 10:01:14,2024-09-16 12:34:44,BLR,SUP-008,SKU-025,467,INV-112582,Shift A,Team 3
SHP-00024,2025-01-20 07:38:17,2025-01-20 09:10:47,2025-01-20 11:32:03,DEL,SUP-003,SKU-018,503,INV-916878,Shift A,Team 1
SHP-00025,2025-01-24 21:46:16,2025-01-24 23:26:25,2025-01-25 02:50:19,DEL,SUP-007,SKU-030,684,INV-856486,Shift A,Team 1
SHP-00026,2024-11-10 10:46:15,2024-11-10 11:33:57,2024-11-10 15:41:54,MUM,SUP-001,SKU-013,1986,INV-110461,Shift B,Team 2
SHP-00027,2025-02-20 10:00:23,2025-02-20 10:58:33,2025-02-20 14:21:40,DEL,SUP-008,SKU-012,1513,INV-355218,Shift A,Team 2
SHP-00028,2024-11-11 06:37:06,2024-11-11 07:57:47,2024-11-11 13:51:01,MUM,SUP-008,SKU-012,1692,INV-326689,Shift C,Team 2
SHP-00029,2024-09-06 15:32:06,2024-09-06 17:09:51,2024-09-06 17:34:19,MUM,SUP-008,SKU-012,1083,INV-280003,Shift A,Team 1
SHP-00030,2024-11-21 17:30:15,2024-11-21 18:48:54,2024-11-21 19:39:33,BLR,SUP-001,SKU-023,805,INV-879348,Shift C,Team 2
SHP-00031,2025-01-21 20:14:36,2025-01-21 21:43:33,2025-01-22 03:03:03,BLR,SUP-003,SKU-020,1540,INV-225777,Shift A,Team 2
SHP-00032,2024-11-14 16:21:36,2024-11-14 18:14:35,2024-11-14 19:45:26,BLR,SUP-007,SKU-011,391,INV-930836,Shift A,Team 2
SHP-00033,2025-02-07 21:31:41,2025-02-07 22:16:44,2025-02-07 23:41:38,DEL,SUP-002,SKU-007,1671,INV-596984,Shift A,Team 2
SHP-00034,2024-10-18 19:18:50,2024-10-18 20:10:52,2024-10-18 22:21:18,DEL,SUP-003,SKU-002,1341,INV-965130,Shift A,Team 2
SHP-00035,2025-02-11 21:37:12,2025-02-11 23:18:00,2025-02-12 00:52:44,BLR,SUP-003,SKU-029,525,INV-478059,Shift A,Team 1
SHP-00036,2024-11-12 14:04:48,2024-11-12 14:36:11,2024-11-12 19:28:04,BLR,SUP-004,SKU-008,756,INV-716261,Shift B,Team 1
SHP-00037,2024-12-17 14:15:17,2024-12-17 15:51:13,2024-12-17 16:36:22,DEL,SUP-001,SKU-014,997,INV-711677,Shift B,Team 2
SHP-00038,2024-12-19 16:32:49,2024-12-19 17:42:58,2024-12-19 22:29:55,MUM,SUP-003,SKU-026,1435,INV-494083,Shift C,Team 1
SHP-00039,2025-01-01 21:35:44,2025-01-01 22:22:10,2025-01-02 00:20:42,BLR,SUP-006,SKU-019,1355,INV-431146,Shift A,Team 1
SHP-00040,2024-10-27 13:57:06,2024-10-27 15:09:25,2024-10-27 20:59:21,MUM,SUP-008,SKU-029,976,INV-731953,Shift B,Team 3
SHP-00041,2024-10-31 17:34:56,2024-10-31 19:32:17,2024-10-31 22:25:31,BLR,SUP-005,SKU-008,608,INV-461702,Shift C,Team 2
SHP-00042,2024-12-06 09:42:24,2024-12-06 10:43:58,2024-12-06 14:42:46,DEL,SUP-003,SKU-024,1671,INV-210906,Shift A,Team 3
SHP-00043,2024-10-23 09:30:42,2024-10-23 10:29:28,2024-10-23 15:00:58,BLR,SUP-002,SKU-025,817,INV-279022,Shift B,Team 3
SHP-00044,2025-01-09 17:54:16,2025-01-09 19:53:41,2025-01-10 00:41:23,MUM,SUP-007,SKU-014,1884,INV-367700,Shift B,Team 3
SHP-00045,2025-01-13 18:15:15,2025-01-13 20:04:21,2025-01-13 22:19:19,DEL,SUP-007,SKU-015,1092,INV-233066,Shift A,Team 2
SHP-00046,2025-01-25 16:12:52,2025-01-25 16:48:09,2025-01-25 19:59:26,MUM,SUP-005,SKU-001,1212,INV-427115,Shift B,Team 2
SHP-00047,2024-09-07 15:21:26,2024-09-07 16:58:52,2024-09-07 16:59:57,BLR,SUP-002,SKU-025,692,INV-691978,Shift A,Team 3
SHP-00048,2024-11-20 18:23:10,2024-11-20 19:19:24,2024-11-20 20:04:53,DEL,SUP-003,SKU-018,1287,INV-189919,Shift B,Team 2
SHP-00049,2024-10-05 18:48:19,2024-10-05 19:54:39,2024-10-05 20:34:01,MUM,SUP-004,SKU-007,643,INV-512130,Shift C,Team 3
SHP-00050,2024-11-01 12:51:41,2024-11-01 14:36:42,2024-11-01 18:06:48,DEL,SUP-004,SKU-023,1293,INV-392135,Shift C,Team 2
SHP-00051,2024-09-05 17:13:00,2024-09-05 18:07:20,2024-09-05 21:46:33,BLR,SUP-001,SKU-002,717,INV-628660,Shift A,Team 1
