order_id,shipment_id,sku,warehouse,date,host_ord_qty,shipped_qty,short_qty,shift,team,flow
ORD-524523,SHP-00601,SKU-022,DEL,2024-09-26,440,440,0,Shift B,Team 1,B2C
ORD-941553,SHP-00602,SKU-026,BLR,2024-12-23,317,317,0,Shift C,Team 3,B2B
ORD-899038,SHP-00603,SKU-003,BLR,2024-12-06,58,58,0,Shift C,Team 3,B2C
ORD-677218,SHP-00604,SKU-027,DEL,2024-10-13,217,217,0,Shift C,Team 2,B2B
ORD-875497,SHP-00605,SKU-001,MUM,2024-10-25,249,239,10,Shift C,Team 3,B2B2C
ORD-495618,SHP-00606,SKU-026,DEL,2025-02-01,485,485,0,Shift C,Team 2,B2C
ORD-665071,SHP-00607,SKU-016,MUM,2024-10-15,84,84,0,Shift C,Team 3,B2C
ORD-528430,SHP-00608,SKU-029,DEL,2024-09-04,113,113,0,Shift C,Team 1,B2C
ORD-996675,SHP-00609,SKU-015,MUM,2024-10-09,428,428,0,Shift C,Team 1,B2C
ORD-189132,SHP-00610,SKU-008,MUM,2024-10-29,155,155,0,Shift B,Team 3,B2C
ORD-184718,SHP-00611,SKU-007,BLR,2024-11-22,76,76,0,Shift A,Team 1,B2B2C
ORD-850596,SHP-00612,SKU-006,DEL,2024-09-21,419,419,0,Shift B,Team 1,B2C
ORD-969551,SHP-00613,SKU-017,BLR,2025-01-02,362,362,0,Shift B,Team 2,B2C
ORD-100054,SHP-00614,SKU-009,DEL,2025-01-16,244,244,0,Shift C,Team 2,B2B
ORD-629722,SHP-00615,SKU-012,DEL,2024-10-10,301,301,0,Shift B,Team 1,B2B2C
ORD-615264,SHP-00616,SKU-013,BLR,2024-12-14,339,339,0,Shift C,Team 2,B2C
ORD-858334,SHP-00617,SKU-002,BLR,2024-09-15,466,466,0,Shift C,Team 1,B2B
ORD-317566,SHP-00618,SKU-022,BLR,2024-11-05,480,480,0,Shift B,Team 3,B2B2C
ORD-119552,SHP-00619,SKU-023,BLR,2025-01-11,204,193,11,Shift B,Team 2,B2B
ORD-919503,SHP-00620,SKU-027,BLR,2025-02-10,123,123,0,Shift B,Team 2,B2B2C
ORD-340465,SHP-00621,SKU-014,MUM,2024-09-18,137,137,0,Shift B,Team 2,B2C
ORD-964890,SHP-00622,SKU-006,DEL,2024-10-25,464,464,0,Shift C,Team 3,B2C
ORD-934042,SHP-00623,SKU-008,BLR,2024-11-15,294,294,0,Shift C,Team 2,B2B
ORD-837157,SHP-00624,SKU-013,BLR,2024-09-25,358,358,0,Shift C,Team 3,B2B
ORD-940472,SHP-00625,SKU-012,BLR,2024-12-04,390,390,0,Shift B,Team 1,B2C
ORD-446489,SHP-00626,SKU-009,MUM,2024-09-07,408,399,9,Shift A,Team 3,B2B
ORD-840006,SHP-00627,SKU-026,BLR,2024-09-01,426,426,0,Shift B,Team 2,B2B2C
ORD-494675,SHP-00628,SKU-004,DEL,2024-12-31,425,425,0,Shift B,Team 3,B2B
ORD-897537,SHP-00629,SKU-006,BLR,2024-10-03,278,278,0,Shift A,Team 3,B2B2C
ORD-356370,SHP-00630,SKU-030,BLR,2024-12-21,217,217,0,Shift C,Team 2,B2B2C
ORD-803776,SHP-00631,SKU-008,BLR,2025-01-15,344,344,0,Shift B,Team 1,B2C
ORD-331457,SHP-00632,SKU-004,BLR,2024-12-21,198,198,0,Shift A,Team 3,B2B
ORD-183326,SHP-00633,SKU-007,BLR,2024-11-20,483,483,0,Shift A,Team 2,B2B2C
ORD-730280,SHP-00634,SKU-028,BLR,2024-10-27,285,285,0,Shift B,Team 1,B2B2C
ORD-101608,SHP-00635,SKU-011,DEL,2024-10-08,208,208,0,Shift B,Team 3,B2B2C
ORD-254591,SHP-00636,SKU-027,DEL,2024-12-06,416,416,0,Shift C,Team 2,B2C
ORD-494314,SHP-00637,SKU-013,DEL,2024-11-16,222,222,0,Shift B,Team 1,B2B
ORD-535110,SHP-00638,SKU-004,BLR,2024-10-20,117,117,0,Shift A,Team 1,B2B
ORD-326106,SHP-00639,SKU-026,BLR,2024-10-06,433,433,0,Shift B,Team 2,B2B2C
ORD-759415,SHP-00640,SKU-016,DEL,2024-10-14,141,141,0,Shift C,Team 2,B2C
ORD-726785,SHP-00641,SKU-006,DEL,2024-09-09,384,384,0,Shift B,Team 3,B2B2C
ORD-343929,SHP-00642,SKU-004,MUM,2024-12-04,300,300,0,Shift A,Team 3,B2B
ORD-257851,SHP-00643,SKU-019,MUM,2025-01-30,114,114,0,Shift A,Team 1,B2C
ORD-542162,SHP-00644,SKU-019,MUM,2025-01-14,325,325,0,Shift A,Team 2,B2B2C
ORD-150139,SHP-00645,SKU-019,DEL,2024-10-17,155,155,0,Shift B,Team 1,B2B
ORD-416096,SHP-00646,SKU-022,DEL,2024-12-03,50,50,0,Shift B,Team 2,B2C
ORD-548798,SHP-00647,SKU-018,MUM,2025-01-04,311,311,0,Shift A,Team 3,B2C
ORD-506977,SHP-00648,SKU-005,DEL,2025-01-20,423,423,0,Shift A,Team 2,B2C
ORD-830459,SHP-00649,SKU-021,MUM,2024-11-05,425,425,0,Shift A,Team 3,B2B2C
ORD-681192,SHP-00650,SKU-026,BLR,2024-12-17,272,272,0,Shift C,Team 2,B2C
ORD-619879,SHP-00651,SKU-005,BLR,2024-09-17,494,494,0,Shift B,Team 3,B2C
ORD-781640,SHP-00652,SKU-027,DEL,2025-01-13,463,463,0,Shift A,Team 2,B2B2C
ORD-245057,SHP-00653,SKU-026,DEL,2024-11-21,322,322,0,Shift C,Team 2,B2B
ORD-582025,SHP-00654,SKU-024,BLR,2025-02-16,186,186,0,Shift B,Team 1,B2B
ORD-588354,SHP-00655,SKU-023,MUM,2024-12-22,466,466,0,Shift B,Team 3,B2C
ORD-378017,SHP-00656,SKU-003,DEL,2024-11-01,430,430,0,Shift A,Team 1,B2C
ORD-471920,SHP-00657,SKU-013,BLR,2025-01-06,57,57,0,Shift A,Team 2,B2B2C
ORD-309422,SHP-00658,SKU-006,MUM,2025-02-03,395,395,0,Shift B,Team 1,B2B
ORD-594072,SHP-00659,SKU-022,BLR,2024-12-18,177,177,0,Shift A,Team 3,B2B
ORD-716940,SHP-00660,SKU-030,DEL,2024-12-10,379,379,0,Shift A,Team 1,B2B2C
ORD-698711,SHP-00661,SKU-013,MUM,2024-12-27,231,231,0,Shift B,Team 3,B2B
ORD-490700,SHP-00662,SKU-008,MUM,2024-09-02,290,290,0,Shift B,Team 2,B2B2C
ORD-353931,SHP-00663,SKU-023,DEL,2024-10-12,151,151,0,Shift C,Team 2,B2B2C
ORD-356026,SHP-00664,SKU-016,DEL,2025-01-01,331,331,0,Shift C,Team 2,B2B2C
ORD-483209,SHP-00665,SKU-001,MUM,2024-10-04,442,442,0,Shift A,Team 2,B2B
ORD-809711,SHP-00666,SKU-008,MUM,2024-11-12,366,366,0,Shift A,Team 2,B2C
ORD-816741,SHP-00667,SKU-020,BLR,2024-10-21,142,131,11,Shift C,Team 1,B2B
ORD-130307,SHP-00668,SKU-028,MUM,2024-12-19,76,76,0,Shift C,Team 3,B2B
ORD-871345,SHP-00669,SKU-008,BLR,2024-11-17,213,213,0,Shift A,Team 2,B2B2C
ORD-964521,SHP-00670,SKU-016,MUM,2025-02-03,236,224,12,Shift B,Team 1,B2B
ORD-902562,SHP-00671,SKU-013,MUM,2025-01-29,94,94,0,Shift C,Team 3,B2B2C
ORD-518489,SHP-00672,SKU-018,BLR,2024-12-24,366,366,0,Shift B,Team 1,B2B
ORD-816017,SHP-00673,SKU-012,DEL,2024-11-04,237,237,0,Shift B,Team 3,B2B
ORD-569575,SHP-00674,SKU-002,BLR,2025-02-01,339,339,0,Shift B,Team 2,B2C
ORD-865634,SHP-00675,SKU-020,BLR,2024-10-13,189,189,0,Shift B,Team 2,B2C
ORD-197527,SHP-00676,SKU-023,BLR,2025-01-13,187,187,0,Shift C,Team 3,B2B2C
ORD-610510,SHP-00677,SKU-018,DEL,2024-11-09,109,109,0,Shift C,Team 1,B2C
ORD-868687,SHP-00678,SKU-002,BLR,2024-12-14,370,370,0,Shift C,Team 2,B2C
ORD-919958,SHP-00679,SKU-021,DEL,2024-09-28,374,374,0,Shift B,Team 3,B2B
ORD-116591,SHP-00680,SKU-012,BLR,2024-12-24,125,125,0,Shift C,Team 2,B2B2C
ORD-523746,SHP-00681,SKU-013,DEL,2024-10-17,401,401,0,Shift B,Team 3,B2B2C
ORD-652341,SHP-00682,SKU-020,MUM,2024-10-06,101,101,0,Shift C,Team 3,B2B
ORD-272041,SHP-00683,SKU-026,DEL,2024-11-08,104,104,0,Shift C,Team 1,B2B2C
ORD-865455,SHP-00684,SKU-018,MUM,2024-11-24,404,404,0,Shift A,Team 3,B2B2C
ORD-543351,SHP-00685,SKU-012,DEL,2024-10-07,385,385,0,Shift B,Team 1,B2C
ORD-604552,SHP-00686,SKU-012,DEL,2024-09-29,89,89,0,Shift C,Team 1,B2B2C
ORD-283223,SHP-00687,SKU-020,MUM,2025-02-01,468,468,0,Shift A,Team 1,B2C
ORD-170498,SHP-00688,SKU-005,MUM,2024-10-09,249,249,0,Shift A,Team 1,B2B2C
ORD-133797,SHP-00689,SKU-014,BLR,2024-09-24,296,296,0,Shift B,Team 2,B2C
ORD-355470,SHP-00690,SKU-018,DEL,2025-01-19,324,324,0,Shift A,Team 3,B2B2C
ORD-365636,SHP-00691,SKU-016,BLR,2024-10-31,118,118,0,Shift B,Team 3,B2B2C
ORD-275803,SHP-00692,SKU-030,DEL,2024-10-07,265,265,0,Shift B,Team 2,B2C
ORD-967815,SHP-00693,SKU-003,BLR,2024-09-07,294,294,0,Shift A,Team 1,B2B
ORD-375204,SHP-00694,SKU-024,DEL,2024-12-16,121,121,0,Shift B,Team 1,B2B
ORD-857079,SHP-00695,SKU-017,BLR,2024-09-29,132,129,3,Shift A,Team 3,B2C
ORD-979024,SHP-00696,SKU-003,BLR,2024-10-29,317,317,0,Shift B,Team 1,B2B2C
ORD-815085,SHP-00697,SKU-027,DEL,2024-09-20,244,244,0,Shift C,Team 2,B2C
ORD-621038,SHP-00698,SKU-004,MUM,2024-09-08,83,83,0,Shift B,Team 2,B2B
ORD-313443,SHP-00699,SKU-002,DEL,2024-09-22,211,211,0,Shift B,Team 1,B2B2C
ORD-109083,SHP-00700,SKU-011,DEL,2024-12-01,258,258,0,Shift A,Team 2,B2B2C
ORD-380531,SHP-00701,SKU-023,MUM,2024-09-10,168,168,0,Shift B,Team 2,B2B2C
ORD-466227,SHP-00702,SKU-015,BLR,2025-02-14,452,452,0,Shift A,Team 3,B2B2C
ORD-482394,SHP-00703,SKU-016,BLR,2024-10-24,99,99,0,Shift C,Team 1,B2B2C
ORD-677112,SHP-00704,SKU-006,DEL,2024-12-26,84,84,0,Shift C,Team 2,B2C
ORD-945918,SHP-00705,SKU-002,MUM,2024-12-23,236,236,0,Shift C,Team 1,B2B2C
ORD-840170,SHP-00706,SKU-015,BLR,2024-12-05,184,184,0,Shift C,Team 1,B2B
ORD-493329,SHP-00707,SKU-003,DEL,2024-10-10,164,155,9,Shift B,Team 2,B2B2C
ORD-215974,SHP-00708,SKU-030,MUM,2024-10-17,253,253,0,Shift B,Team 2,B2C
ORD-286452,SHP-00709,SKU-021,MUM,2024-09-30,159,159,0,Shift A,Team 3,B2B
ORD-716139,SHP-00710,SKU-025,MUM,2024-10-25,400,393,7,Shift A,Team 2,B2B2C
ORD-699722,SHP-00711,SKU-003,DEL,2024-12-17,269,269,0,Shift A,Team 3,B2B2C
ORD-867913,SHP-00712,SKU-013,MUM,2024-12-21,471,471,0,Shift A,Team 1,B2B2C
ORD-370743,SHP-00713,SKU-005,BLR,2025-02-18,284,284,0,Shift B,Team 1,B2C
ORD-736171,SHP-00714,SKU-015,MUM,2024-12-25,377,377,0,Shift A,Team 2,B2B
ORD-737813,SHP-00715,SKU-001,BLR,2024-12-06,239,239,0,Shift B,Team 3,B2C
ORD-353925,SHP-00716,SKU-014,MUM,2024-12-15,317,317,0,Shift A,Team 3,B2B2C
ORD-281811,SHP-00717,SKU-010,BLR,2024-12-21,409,409,0,Shift A,Team 3,B2C
ORD-302576,SHP-00718,SKU-020,BLR,2024-12-15,328,328,0,Shift B,Team 1,B2B
ORD-521084,SHP-00719,SKU-026,MUM,2024-12-26,287,287,0,Shift A,Team 1,B2B
ORD-772256,SHP-00720,SKU-026,BLR,2025-02-16,262,262,0,Shift B,Team 2,B2B
ORD-165821,SHP-00721,SKU-013,MUM,2024-11-21,148,148,0,Shift B,Team 1,B2B
ORD-947739,SHP-00722,SKU-014,BLR,2024-12-13,168,168,0,Shift B,Team 2,B2B
ORD-658706,SHP-00723,SKU-025,BLR,2024-10-11,353,353,0,Shift A,Team 3,B2B2C
ORD-149757,SHP-00724,SKU-008,DEL,2025-02-10,384,384,0,Shift C,Team 3,B2C
ORD-675699,SHP-00725,SKU-004,MUM,2024-11-10,285,285,0,Shift B,Team 3,B2C
ORD-526536,SHP-00726,SKU-001,DEL,2024-10-24,261,261,0,Shift C,Team 3,B2C
ORD-939091,SHP-00727,SKU-028,MUM,2024-10-17,66,66,0,Shift B,Team 2,B2C
ORD-685484,SHP-00728,SKU-001,DEL,2024-11-05,324,324,0,Shift C,Team 1,B2B2C
ORD-248225,SHP-00729,SKU-016,DEL,2024-10-06,152,152,0,Shift B,Team 3,B2B2C
ORD-260118,SHP-00730,SKU-007,MUM,2024-12-12,401,401,0,Shift A,Team 2,B2C
ORD-748149,SHP-00731,SKU-011,MUM,2025-01-03,368,368,0,Shift C,Team 1,B2B
ORD-209724,SHP-00732,SKU-010,DEL,2024-09-09,359,359,0,Shift C,Team 3,B2C
ORD-823540,SHP-00733,SKU-011,MUM,2024-12-01,112,105,7,Shift C,Team 1,B2B
ORD-890369,SHP-00734,SKU-007,DEL,2024-12-08,102,102,0,Shift C,Team 3,B2B2C
