shipment_id,sku,warehouse,date,expqty,rcvqty,idnqty,shift,team
SHP-00001,SKU-018,BLR,2024-11-12,378,378,378,Shift A,Team 1
SHP-00002,SKU-026,BLR,2024-12-20,1980,1980,1980,Shift B,Team 2
SHP-00003,SKU-024,MUM,2024-12-09,1140,1140,1140,Shift B,Team 3
SHP-00004,SKU-008,BLR,2024-10-22,1783,1783,1783,Shift B,Team 1
SHP-00005,SKU-020,MUM,2024-12-02,1500,1500,1500,Shift A,Team 2
SHP-00006,SKU-011,BLR,2024-09-19,1021,1021,1021,Shift B,Team 1
SHP-00007,SKU-014,MUM,2024-11-09,1395,1395,1395,Shift C,Team 2
SHP-00008,SKU-020,DEL,2024-12-19,1158,1158,1158,Shift A,Team 1
SHP-00009,SKU-024,BLR,2024-10-01,739,774,774,Shift A,Team 3
SHP-00010,SKU-025,BLR,2024-12-07,1286,1286,1286,Shift C,Team 3
SHP-00011,SKU-003,MUM,2024-11-03,1757,1682,1682,Shift A,Team 2
SHP-00012,SKU-023,BLR,2025-01-19,838,838,838,Shift C,Team 1
SHP-00013,SKU-023,DEL,2024-11-27,1492,1492,1492,Shift C,Team 2
SHP-00014,SKU-008,BLR,2025-01-23,1806,1806,1806,Shift A,Team 1
SHP-00015,SKU-004,MUM,2025-02-17,709,709,709,Shift C,Team 1
SHP-00016,SKU-003,DEL,2024-09-30,1743,1743,1743,Shift C,Team 2
SHP-00017,SKU-023,DEL,2024-09-04,1696,1696,1696,Shift B,Team 3
SHP-00018,SKU-030,DEL,2024-09-17,1946,1946,1946,Shift C,Team 2
SHP-00019,SKU-014,DEL,2024-10-03,1546,1546,1546,Shift A,Team 2
SHP-00020,SKU-025,MUM,2025-02-16,348,348,348,Shift B,Team 1
SHP-00021,SKU-023,MUM,2024-09-20,819,819,819,Shift B,Team 1
SHP-00022,SKU-018,BLR,2024-11-09,518,518,518,Shift B,Team 3
SHP-00023,SKU-025,BLR,2024-09-16,467,467,467,Shift A,Team 3
SHP-00024,SKU-018,DEL,2025-01-20,503,503,503,Shift A,Team 1
SHP-00025,SKU-030,DEL,2025-01-24,684,684,684,Shift A,Team 1
SHP-00026,SKU-013,MUM,2024-11-10,1986,1986,1986,Shift B,Team 2
