order_id,shipment_id,warehouse,sku,alloc_dte,pick_dte,stage_dte,load_dte,early_shpdte,dispatch_dte,shift,team
ORD-524523,SHP-00601,DEL,SKU-022,2024-09-26 00:36:44,2024-09-26 02:53:15,2024-09-26 04:13:26,2024-09-26 05:33:38,2024-09-26 07:28:43,2024-09-26 08:12:37,Shift B,Team 1
ORD-941553,SHP-00602,BLR,SKU-026,2024-12-23 00:33:20,2024-12-23 02:23:40,2024-12-23 04:43:16,2024-12-23 07:02:52,2024-12-23 08:57:25,2024-12-23 08:49:25,Shift C,Team 3
ORD-899038,SHP-00603,BLR,SKU-003,2024-12-06 00:40:54,2024-12-06 02:51:03,2024-12-06 04:19:27,2024-12-06 05:47:51,2024-12-06 07:58:20,2024-12-06 07:41:20,Shift C,Team 3
ORD-677218,SHP-00604,DEL,SKU-027,2024-10-13 01:23:20,2024-10-13 03:34:23,2024-10-13 05:54:32,2024-10-13 08:14:42,2024-10-13 07:11:11,2024-10-13 07:06:11,Shift C,Team 2
ORD-875497,SHP-00605,MUM,SKU-001,2024-10-25 01:11:34,2024-10-25 02:58:14,2024-10-25 05:00:40,2024-10-25 07:03:06,2024-10-25 09:52:47,2024-10-25 11:18:02,Shift C,Team 3
ORD-495618,SHP-00606,DEL,SKU-026,2025-02-01 01:28:33,2025-02-01 03:18:22,2025-02-01 05:39:30,2025-02-01 08:00:38,2025-02-01 09:06:39,2025-02-01 08:48:39,Shift C,Team 2
ORD-665071,SHP-00607,MUM,SKU-016,2024-10-15 00:49:26,2024-10-15 02:56:06,2024-10-15 04:20:28,2024-10-15 05:44:50,2024-10-15 09:32:02,2024-10-15 09:10:02,Shift C,Team 3
ORD-528430,SHP-00608,DEL,SKU-029,2024-09-04 01:19:18,2024-09-04 03:17:31,2024-09-04 05:37:16,2024-09-04 07:57:01,2024-09-04 08:19:11,2024-09-04 08:11:11,Shift C,Team 1
ORD-996675,SHP-00609,MUM,SKU-015,2024-10-09 01:25:00,2024-10-09 03:54:56,2024-10-09 05:10:52,2024-10-09 06:26:47,2024-10-09 08:21:32,2024-10-09 08:13:32,Shift C,Team 1
ORD-189132,SHP-00610,MUM,SKU-008,2024-10-29 00:58:09,2024-10-29 02:47:25,2024-10-29 04:35:41,2024-10-29 06:23:58,2024-10-29 07:00:38,2024-10-29 06:41:38,Shift B,Team 3
ORD-184718,SHP-00611,BLR,SKU-007,2024-11-22 00:46:21,2024-11-22 02:14:58,2024-11-22 03:57:06,2024-11-22 05:39:14,2024-11-22 07:09:30,2024-11-22 07:05:30,Shift A,Team 1
ORD-850596,SHP-00612,DEL,SKU-006,2024-09-21 01:24:17,2024-09-21 03:10:32,2024-09-21 05:05:08,2024-09-21 06:59:44,2024-09-21 07:27:34,2024-09-21 07:15:34,Shift B,Team 1
ORD-969551,SHP-00613,BLR,SKU-017,2025-01-02 01:01:20,2025-01-02 03:12:56,2025-01-02 04:25:13,2025-01-02 05:37:29,2025-01-02 07:26:23,2025-01-02 07:03:23,Shift B,Team 2
ORD-100054,SHP-00614,DEL,SKU-009,2025-01-16 00:34:16,2025-01-16 02:32:13,2025-01-16 04:06:12,2025-01-16 05:40:12,2025-01-16 07:04:49,2025-01-16 06:37:49,Shift C,Team 2
ORD-629722,SHP-00615,DEL,SKU-012,2024-10-10 00:59:33,2024-10-10 02:57:39,2024-10-10 05:22:23,2024-10-10 07:47:07,2024-10-10 08:09:41,2024-10-10 07:52:41,Shift B,Team 1
ORD-615264,SHP-00616,BLR,SKU-013,2024-12-14 01:00:55,2024-12-14 03:12:27,2024-12-14 04:19:08,2024-12-14 05:25:49,2024-12-14 08:55:25,2024-12-14 08:40:25,Shift C,Team 2
ORD-858334,SHP-00617,BLR,SKU-002,2024-09-15 01:28:09,2024-09-15 03:20:06,2024-09-15 04:53:12,2024-09-15 06:26:17,2024-09-15 08:23:55,2024-09-15 07:55:55,Shift C,Team 1
ORD-317566,SHP-00618,BLR,SKU-022,2024-11-05 00:37:23,2024-11-05 01:53:04,2024-11-05 04:01:37,2024-11-05 06:10:11,2024-11-05 08:40:11,2024-11-05 08:29:11,Shift B,Team 3
