trndte,trlr_id,yard_loc,warehouse,shift
2024-11-12 09:39:33,TRL-3243,YARD,BLR,Shift A
2024-11-12 10:03:15,TRL-3243,DOCK,BLR,Shift A
2024-12-20 09:26:02,TRL-9515,YARD,BLR,Shift B
2024-12-20 10:33:23,TRL-9515,DOCK,BLR,Shift B
2024-12-09 07:51:00,TRL-1850,YARD,MUM,Shift B
2024-12-09 08:07:49,TRL-1850,DOCK,MUM,Shift B
2024-10-22 17:07:07,TRL-4771,YARD,BLR,Shift B
2024-10-22 18:07:56,TRL-4771,DOCK,BLR,Shift B
2024-12-02 10:53:32,TRL-3194,YARD,MUM,Shift A
2024-12-02 11:30:28,TRL-3194,DOCK,MUM,Shift A
2024-09-19 09:32:48,TRL-3359,YARD,BLR,Shift B
2024-09-19 10:06:01,TRL-3359,DOCK,BLR,Shift B
2024-11-09 08:24:06,TRL-8286,YARD,MUM,Shift C
2024-11-09 09:33:56,TRL-8286,DOCK,MUM,Shift C
2024-12-19 15:12:33,TRL-3556,YARD,DEL,Shift A
2024-12-19 15:31:45,TRL-3556,DOCK,DEL,Shift A
2024-10-01 10:37:27,TRL-5419,YARD,BLR,Shift A
2024-10-01 10:57:15,TRL-5419,DOCK,BLR,Shift A
2024-12-07 18:40:10,TRL-7466,YARD,BLR,Shift C
2024-12-07 19:25:10,TRL-7466,DOCK,BLR,Shift C
2024-11-03 21:01:45,TRL-8295,YARD,MUM,Shift A
2024-11-03 21:46:24,TRL-8295,DOCK,MUM,Shift A
2025-01-19 17:39:33,TRL-7668,YARD,BLR,Shift C
2025-01-19 18:11:01,TRL-7668,DOCK,BLR,Shift C
2024-11-27 05:14:38,TRL-3303,YARD,DEL,Shift C
2024-11-27 06:43:05,TRL-3303,DOCK,DEL,Shift C
2025-01-23 08:26:10,TRL-9523,YARD,BLR,Shift A
2025-01-23 08:56:12,TRL-9523,DOCK,BLR,Shift A
2025-02-17 17:01:14,TRL-2848,YARD,MUM,Shift C
2025-02-17 18:30:21,TRL-2848,DOCK,MUM,Shift C
2024-09-30 07:58:16,TRL-3482,YARD,DEL,Shift C
2024-09-30 09:14:53,TRL-3482,DOCK,DEL,Shift C
2024-09-04 12:19:55,TRL-1802,YARD,DEL,Shift B
2024-09-04 13:25:36,TRL-1802,DOCK,DEL,Shift B
2024-09-17 06:48:43,TRL-5787,YARD,DEL,Shift C
2024-09-17 08:12:34,TRL-5787,DOCK,DEL,Shift C
2024-10-03 20:48:41,TRL-3072,YARD,DEL,Shift A
2024-10-03 22:04:57,TRL-3072,DOCK,DEL,Shift A
2025-02-16 10:39:52,TRL-9898,YARD,MUM,Shift B
2025-02-16 11:10:12,TRL-9898,DOCK,MUM,Shift B
2024-09-20 20:29:06,TRL-4481,YARD,MUM,Shift B
2024-09-20 21:47:47,TRL-4481,DOCK,MUM,Shift B
2024-11-09 08:08:38,TRL-7242,YARD,BLR,Shift B
2024-11-09 09:34:39,TRL-7242,DOCK,BLR,Shift B
2024-09-16 07:48:21,TRL-9347,YARD,BLR,Shift A
2024-09-16 09:13:44,TRL-9347,DOCK,BLR,Shift A
2025-01-20 06:01:17,TRL-9851,YARD,DEL,Shift A
2025-01-20 06:46:41,TRL-9851,DOCK,DEL,Shift A
2025-01-24 19:57:16,TRL-2405,YARD,DEL,Shift A
2025-01-24 20:27:46,TRL-2405,DOCK,DEL,Shift A
2024-11-10 09:44:15,TRL-1142,YARD,MUM,Shift B
2024-11-10 10:47:15,TRL-1142,DOCK,MUM,Shift B
2025-02-20 08:23:23,TRL-5148,YARD,DEL,Shift A
2025-02-20 09:47:11,TRL-5148,DOCK,DEL,Shift A
2024-11-11 05:01:06,TRL-8124,YARD,MUM,Shift C
2024-11-11 05:26:04,TRL-8124,DOCK,MUM,Shift C
2024-09-06 14:19:06,TRL-7069,YARD,MUM,Shift A
2024-09-06 14:55:05,TRL-7069,DOCK,MUM,Shift A
2024-11-21 16:56:15,TRL-1851,YARD,BLR,Shift C
2024-11-21 18:16:16,TRL-1851,DOCK,BLR,Shift C
2025-01-21 19:21:36,TRL-3385,YARD,BLR,Shift A
2025-01-21 20:23:13,TRL-3385,DOCK,BLR,Shift A
2024-11-14 14:49:36,TRL-2533,YARD,BLR,Shift A
2024-11-14 16:14:23,TRL-2533,DOCK,BLR,Shift A
2025-02-07 21:05:41,TRL-7130,YARD,DEL,Shift A
2025-02-07 22:22:32,TRL-7130,DOCK,DEL,Shift A
2024-10-18 18:49:50,TRL-1014,YARD,DEL,Shift A
2024-10-18 19:12:57,TRL-1014,DOCK,DEL,Shift A
2025-02-11 20:40:12,TRL-6436,YARD,BLR,Shift A
2025-02-11 21:24:33,TRL-6436,DOCK,BLR,Shift A
2024-11-12 13:00:48,TRL-8785,YARD,BLR,Shift B
2024-11-12 14:14:49,TRL-8785,DOCK,BLR,Shift B
2024-12-17 12:24:17,TRL-9693,YARD,DEL,Shift B
2024-12-17 13:31:06,TRL-9693,DOCK,DEL,Shift B
2024-12-19 15:03:49,TRL-1983,YARD,MUM,Shift C
2024-12-19 16:24:38,TRL-1983,DOCK,MUM,Shift C
2025-01-01 20:08:44,TRL-4551,YARD,BLR,Shift A
2025-01-01 21:18:45,TRL-4551,DOCK,BLR,Shift A
2024-10-27 13:01:06,TRL-1585,YARD,MUM,Shift B
2024-10-27 13:35:14,TRL-1585,DOCK,MUM,Shift B
2024-10-31 17:07:56,TRL-2116,YARD,BLR,Shift C
2024-10-31 17:44:04,TRL-2116,DOCK,BLR,Shift C
2024-12-06 08:52:24,TRL-5455,YARD,DEL,Shift A
2024-12-06 09:12:11,TRL-5455,DOCK,DEL,Shift A
2024-10-23 08:21:42,TRL-7646,YARD,BLR,Shift B
2024-10-23 09:43:43,TRL-7646,DOCK,BLR,Shift B
2025-01-09 17:25:16,TRL-6569,YARD,MUM,Shift B
2025-01-09 18:31:47,TRL-6569,DOCK,MUM,Shift B
2025-01-13 17:31:15,TRL-6409,YARD,DEL,Shift A
2025-01-13 18:25:25,TRL-6409,DOCK,DEL,Shift A
2025-01-25 15:17:52,TRL-2688,YARD,MUM,Shift B
2025-01-25 16:11:29,TRL-2688,DOCK,MUM,Shift B
2024-09-07 14:00:26,TRL-4559,YARD,BLR,Shift A
2024-09-07 14:38:42,TRL-4559,DOCK,BLR,Shift A
2024-11-20 17:18:10,TRL-6238,YARD,DEL,Shift B
2024-11-20 18:11:05,TRL-6238,DOCK,DEL,Shift B
2024-10-05 18:23:19,TRL-4229,YARD,MUM,Shift C
2024-10-05 19:25:09,TRL-4229,DOCK,MUM,Shift C
2024-11-01 12:18:41,TRL-1196,YARD,DEL,Shift C
2024-11-01 13:42:50,TRL-1196,DOCK,DEL,Shift C
2024-09-05 16:13:00,TRL-9459,YARD,BLR,Shift A
2024-09-05 16:56:36,TRL-9459,DOCK,BLR,Shift A
2024-10-12 19:08:55,TRL-8329,YARD,BLR,Shift A
2024-10-12 20:00:26,TRL-8329,DOCK,BLR,Shift A
2025-02-01 11:24:55,TRL-8385,YARD,MUM,Shift C
2025-02-01 11:59:35,TRL-8385,DOCK,MUM,Shift C
2024-12-27 16:44:21,TRL-2494,YARD,DEL,Shift B
2024-12-27 17:02:08,TRL-2494,DOCK,DEL,Shift B
2024-10-01 13:00:10,TRL-8579,YARD,BLR,Shift C
2024-10-01 13:22:52,TRL-8579,DOCK,BLR,Shift C
2025-01-08 14:19:56,TRL-9636,YARD,MUM,Shift A
2025-01-08 15:16:50,TRL-9636,DOCK,MUM,Shift A
2025-01-28 06:43:27,TRL-4345,YARD,BLR,Shift B
2025-01-28 07:51:04,TRL-4345,DOCK,BLR,Shift B
2024-11-25 13:35:10,TRL-8142,YARD,MUM,Shift C
2024-11-25 13:58:10,TRL-8142,DOCK,MUM,Shift C
2024-12-31 11:36:29,TRL-9453,YARD,MUM,Shift B
2024-12-31 12:23:18,TRL-9453,DOCK,MUM,Shift B
2024-09-10 17:19:03,TRL-9476,YARD,BLR,Shift C
2024-09-10 17:42:30,TRL-9476,DOCK,BLR,Shift C
2025-02-14 19:41:33,TRL-8700,YARD,DEL,Shift C
2025-02-14 20:29:26,TRL-8700,DOCK,DEL,Shift C
