Shipment ID,Load ID,Date,Month,Year,Carrier Name,Mode of Transport,Product Type,Origin Country,Origin Region,Origin State,Origin City,Origin Zipcode,Origin Area,Destination Country,Destination Region,Destination State,Destination City,Destination Zipcode,Destination Area,Distance_km,Total_Weight_in_Shipment_kg,Transit Time (Days),Operational Status,Shipment Cost (USD),Shipment Planned,Equipment,Equipment Weight Capacity (KG),Equipment_VolumeCapacity_m3,Total Volume in Shipment_m3,Tendered Status,Estimated Delivery Date,Actual_Delivery_Date,Delays,On-Time / Delayed / In-Transit,Shipment Order Type
SHP102847,LD202847,00:00.0,May,2025,Maersk,Truck,Finished Goods,India,Asia,Delhi(NCT),Delhi,110001,Northern India,United States,North America,Massachusetts,Boston,2108,New England,2255,584.6,1,Delivered,990.37,Auto,Flatbed Trailer,30000,120,2.34,Accepted,00:00.0,00:00.0,-1,Delayed,Multi-Order
SHP102849,LD202849,00:00.0,May,2025,FastLane,Truck,Semi Finished Goods,United States,North America,New York,New York City,10292,Northeastern US,United States,North America,Tennessee,Nashville,37201,Central Tennessee,446,252.4,2,Delivered,215.51,Auto,Flatbed Trailer,30000,120,1.01,Rejected,00:00.0,00:00.0,0,On-Time,Multi-Order
SHP102833,LD202833,00:00.0,May,2025,AlphaTrans,Air,Direct Materials,India,Asia,West Bengal,Kolkata,700001,Eastern India,United States,North America,New York,New York City,10292,Northeastern US,725,531.2,1,Cancelled,1083.21,Auto,40FT Standard Container,26730,67,2.12,Accepted,00:00.0,NULL,NULL,Cancelled,Multi-Order
SHP102814,LD202814,00:00.0,May,2025,UPS,Sea,Finished Goods,United States,North America,Massachusetts,Boston,2108,New England,India,Asia,Tamilnadu,Chennai,600001,Southeastern Coast of India,2184,1151.2,4,Delivered,838.55,Auto,20FT Dry Container,25400,33,4.6,Rejected,00:00.0,00:00.0,-1,Delayed,Multi-Order
SHP102853,LD202853,00:00.0,May,2025,AlphaTrans,Air,Semi Finished Goods,United States,North America,Texas,Dallas,75398,North Texas,United States,North America,Georgia,Atlanta,30301,Southeastern US,4600,943.1,9,In Transit,3498.14,Auto,20FT Dry Container,25400,33,3.77,Accepted,00:00.0,NULL,NULL,In Transit,Multi-Order
SHP102818,LD202818,00:00.0,May,2025,BlueWave,Truck,Direct Materials,Germany,Berlin,Berlin,Berlin,10115,Mitte,United States,North America,Tennessee,Nashville,37201,Central Tennessee,3362,649.4,3,In Transit,1447.65,Auto,20FT Dry Container,25400,33,2.6,Accepted,00:00.0,NULL,NULL,In Transit,Multi-Order
SHP102877,LD202877,00:00.0,May,2025,UPS,Truck,Finished Goods,United States,North America,Illinois,Chicago,60601,Midwest US,United States,North America,Texas,Dallas,75398,North Texas,1077,1964.8,1,Delivered,944.78,Auto,40FT REEFER,25000,68,7.86,Accepted,00:00.0,00:00.0,-2,Delayed,Multi-Order
SHP102865,LD202865,00:00.0,May,2025,DHL Express,Truck,Semi Finished Goods,United States,North America,Arizona,Phoenix,85099,Southwestern US,United States,North America,Texas,Dallas,75398,North Texas,2770,1648,1,Delivered,1336.96,Auto,40FT High Cube Container,26460,76,6.59,Accepted,00:00.0,00:00.0,-5,Delayed,Multi-Order
SHP102935,LD202935,00:00.0,Jun,2025,AlphaTrans,Truck,Direct Materials,United States,North America,Georgia,Atlanta,30301,Southeastern US,United States,North America,Illinois,Chicago,60601,Midwest US,1520,527.2,1,In Transit,836.44,Auto,20FT Dry Container,25400,33,2.11,Accepted,00:00.0,NULL,NULL,In Transit,Multi-Order
SHP102953,LD202953,00:00.0,Jun,2025,Continental Logistics,Air,Finished Goods,India,Asia,West Bengal,Kolkata,700001,Eastern India,United States,North America,California,Los Angeles,90001,Southern California,3217,599.9,5,Cancelled,1816.57,Auto,Flatbed Trailer,30000,120,2.4,Rejected,00:00.0,NULL,NULL,Cancelled,Multi-Order
SHP102956,LD202956,00:00.0,Jun,2025,AlphaTrans,Air,Semi Finished Goods,India,Asia,Delhi(NCT),Delhi,110001,Northern India,United States,West,California,Los Angeles,90001,South Los Angeles,1536,862.6,1,Delivered,1243.59,Auto,20FT Dry Container,25400,33,3.45,Accepted,00:00.0,00:00.0,-4,Delayed,Multi-Order
SHP102971,LD202971,00:00.0,Jun,2025,AMAZON LOGISTICS,Truck,Direct Materials,United States,North America,Illinois,Chicago,60601,Midwest US,India,Asia,West Bengal,Kolkata,700001,Eastern India,2970,369.5,2,Delivered,1669.75,Auto,Flatbed Trailer,30000,120,1.48,Accepted,00:00.0,00:00.0,-2,Delayed,Multi-Order
SHP102991,LD202991,00:00.0,Jun,2025,FastLane,Truck,Finished Goods,United States,North America,Texas,Houston,77001,Southeastern Texas,India,Asia,West Bengal,Kolkata,700001,Eastern India,2790,1696.7,1,Delivered,1664.82,Auto,40FT REEFER,25000,68,6.79,Accepted,00:00.0,00:00.0,-1,Delayed,Multi-Order
SHP102908,LD202908,00:00.0,Jun,2025,Maersk,Truck,Semi Finished Goods,United States,North America,Georgia,Atlanta,30301,Southeastern US,India,Asia,Tamilnadu,Chennai,600001,Southeastern Coast of India,2458,1999.8,1,Delivered,989.72,Auto,Flatbed Trailer,30000,120,8,Accepted,00:00.0,00:00.0,-5,Delayed,Multi-Order
SHP102943,LD202943,00:00.0,Jun,2025,AMAZON LOGISTICS,Sea,Direct Materials,India,Asia,Andhra Pradesh,Visakhapatnam,530001,Eastern Coast of India,United States,North America,Florida,Miami,33299,South Florida,50,221.1,2,Delivered,830.87,Auto,40FT High Cube Container,26460,76,0.88,Accepted,00:00.0,00:00.0,-3,Delayed,Multi-Order
SHP102980,LD202980,00:00.0,Jun,2025,MSC,Truck,Finished Goods,United States,North America,Arizona,Phoenix,85099,Southwestern US,United States,North America,Florida,Miami,33299,South Florida,2961,933.9,12,In Transit,1860.44,Auto,Flatbed Trailer,30000,120,3.74,Accepted,00:00.0,NULL,NULL,In Transit,Multi-Order
SHP102977,LD202977,00:00.0,Jun,2025,DHL Express,Truck,Semi Finished Goods,United States,North America,California,Los Angeles,90001,Southern California,United States,North America,Arizona,Phoenix,85099,Southwestern US,557,1711.3,1,Cancelled,341.09,Auto,20FT Dry Container,25400,33,6.85,Accepted,00:00.0,NULL,NULL,Cancelled,Multi-Order
SHP102900,LD202900,00:00.0,Jun,2025,DHL Express,Truck,Direct Materials,Japan,Asia,Tokyo Metropolis,Tokyo,100-0001,Kanto Region,United States,North America,Texas,Houston,77001,Southeastern Texas,2107,3004.8,2,Delivered,1826.61,Manual,40FT REEFER,25000,68,12.02,Rejected,00:00.0,00:00.0,0,On-Time,Multi-Order
SHP102996,LD202996,00:00.0,Jun,2025,BlueWave,Air,Finished Goods,United States,North America,Tennessee,Nashville,37201,Central Tennessee,India,Asia,Kerala,Kochi,682001,Southwestern Coast of India,2644,10,2,Delivered,841.66,Manual,53FT Dry Van Trailer,20412,115,0.04,Rejected,00:00.0,00:00.0,-3,Delayed,Multi-Order
SHP102924,LD202924,00:00.0,Jun,2025,ONE Liner,Air,Semi Finished Goods,United States,Northeast,New York,New York,10001,Manhattan,India,Asia,Kerala,Kochi,682001,Southwestern Coast of India,3447,1164.7,1,In Transit,1490.55,Manual,20FT Dry Container,25400,33,4.66,Accepted,00:00.0,NULL,NULL,In Transit,Multi-Order
SHP102942,LD202942,00:00.0,Jun,2025,FastLane,Sea,Direct Materials,United States,North America,Maryland,Baltimore,21298,Mid-Atlantic US,United States,North America,Illinois,Chicago,60601,Midwest US,117,1968.5,1,Delivered,1335.15,Manual,53FT Dry Van Trailer,20412,115,7.87,Rejected,00:00.0,00:00.0,0,On-Time,Multi-Order
SHP102975,LD202975,00:00.0,Jun,2025,DHL Express,Air,Finished Goods,United States,North America,Texas,Houston,77001,Southeastern Texas,United States,North America,Maryland,Baltimore,21298,Mid-Atlantic US,2035,1559.1,3,Cancelled,50,Auto,Flatbed Trailer,30000,120,6.24,Rejected,00:00.0,NULL,NULL,Cancelled,Multi-Order
SHP102989,LD202989,00:00.0,Jun,2025,Fedex ,Truck,Semi Finished Goods,India,Asia,Maharashtra,Mumbai,400001,Western India,United States,North America,New York,New York City,10292,Northeastern US,2291,2250,2,Delivered,50,Auto,40FT REEFER,25000,68,9,Accepted,00:00.0,00:00.0,-5,Delayed,Multi-Order
SHP102955,LD202955,00:00.0,Jun,2025,Hapag Lyod,Sea,Direct Materials,India,Asia,Tamilnadu,Chennai,600001,Southeastern Coast of India,India,Asia,Andhra Pradesh,Visakhapatnam,530001,Eastern Coast of India,4248,3094.6,5,Delivered,1867.35,Auto,20FT Dry Container,25400,33,12.38,Accepted,00:00.0,00:00.0,0,On-Time,Single
SHP102906,LD202906,00:00.0,Jun,2025,ONE Liner,Truck,Finished Goods,United States,North America,Arizona,Phoenix,85099,Southwestern US,India,Asia,Tamilnadu,Chennai,600001,Southeastern Coast of India,4337,1817,6,Cancelled,2234.59,Auto,40FT Standard Container,26730,67,7.27,Accepted,00:00.0,NULL,NULL,Cancelled,Multi-Order
SHP102985,LD202985,00:00.0,Jun,2025,AlphaTrans,Air,Semi Finished Goods,Japan,Asia,Tokyo Metropolis,Tokyo,100-0001,Kanto Region,India,Asia,Kerala,Kochi,682001,Southwestern Coast of India,937,726.4,3,In Transit,900.49,Auto,20FT Dry Container,25400,33,2.91,Rejected,00:00.0,NULL,NULL,In Transit,Single
SHP102938,LD202938,00:00.0,Jun,2025,BlueWave,Truck,Direct Materials,United States,North America,Georgia,Atlanta,30301,Southeastern US,India,Asia,Tamilnadu,Chennai,600001,Southeastern Coast of India,3442,1807.3,4,In Transit,2310.77,Auto,40FT High Cube Container,26460,76,7.23,Accepted,00:00.0,NULL,NULL,In Transit,Single
SHP102960,LD202960,00:00.0,Jun,2025,ONE Liner,Air,Finished Goods,United States,North America,Maryland,Baltimore,21298,Mid-Atlantic US,United States,North America,New York,New York City,10292,Northeastern US,1635,796.6,1,Delivered,599.61,Auto,40FT High Cube Container,26460,76,3.19,Accepted,00:00.0,00:00.0,0,On-Time,Single
SHP102944,LD202944,00:00.0,Jun,2025,KKW Trucking Inc.,Air,Semi Finished Goods,United States,North America,Texas,Dallas,75398,North Texas,United States,North America,Texas,Houston,77001,Southeastern Texas,4328,387.8,5,In Transit,3731.92,Auto,40FT REEFER,25000,68,1.55,Accepted,00:00.0,NULL,NULL,In Transit,Multi-Order
