Order_ID,Dispatch_Date,Planned_Delivery_Date,Actual_Delivery_Date,Quantity_Ordered,Quantity_Delivered,Transporter,Route,Distance_KM,Freight_Cost,Shipment_Status
ORD-1001,2025-01-02,2025-01-05,2025-01-05,120,120,FastLine,NYC-CHI,1270,1850,Delivered
ORD-1002,2025-01-03,2025-01-06,2025-01-07,80,80,FastLine,NYC-ATL,1400,2100,Delayed
ORD-1003,2025-01-04,2025-01-08,2025-01-08,50,48,TransGo,SEA-LAX,1550,1900,Delivered
ORD-1004,2025-01-05,2025-01-09,2025-01-10,200,200,TransGo,SEA-SFO,1300,1750,Delayed
ORD-1005,2025-01-06,2025-01-10,2025-01-10,60,60,NorthStar,DAL-HOU,385,620,Delivered
ORD-1006,2025-01-07,2025-01-11,2025-01-12,140,140,NorthStar,DAL-CHI,1290,1680,Delayed
ORD-1007,2025-01-08,2025-01-12,2025-01-12,90,90,FastLine,NYC-CHI,1270,1820,Delivered
ORD-1008,2025-01-09,2025-01-13,2025-01-13,110,108,TransGo,SEA-LAX,1550,1950,Delivered
ORD-1009,2025-01-10,2025-01-14,2025-01-16,75,75,NorthStar,DEN-PHX,1330,1600,Delayed
ORD-1010,2025-01-11,2025-01-15,2025-01-15,160,160,FastLine,NYC-ATL,1400,2200,Delivered
